context,target_word,question,annotated_question,answers,ground_truth_answer,bert-base_pred_orig,bert-base_pred_ambig,bert-large_pred_orig,bert-large_pred_ambig,roberta-base_pred_orig,roberta-base_pred_ambig,roberta-large_pred_orig,roberta-large_pred_ambig,deberta-base_pred_orig,deberta-base_pred_ambig,deberta-large_pred_orig,deberta-large_pred_ambig
"In the last two decades, photovoltaics (PV), also known as solar PV, has evolved from a pure niche market of small scale applications towards becoming a mainstream electricity source. A solar cell is a device that converts light directly into electricity using the photoelectric effect. The first solar cell was constructed by Charles Fritts in the 1880s. In 1931 a German engineer, Dr Bruno Lange, developed a photo cell using silver selenide in place of copper oxide. Although the prototype selenium cells converted less than 1% of incident light into electricity, both Ernst Werner von Siemens and James Clerk Maxwell recognized the importance of this discovery. Following the work of Russell Ohl in the 1940s, researchers Gerald Pearson, Calvin Fuller and Daryl Chapin created the crystalline silicon solar cell in 1954. These early solar cells cost 286 USD/watt and reached efficiencies of 4.5–6%. By 2012 available efficiencies exceed 20% and the maximum efficiency of research photovoltaics is over 40%.",cell,What is a solar cell?,What is a cell?,"{'text': ['a device that converts light directly into electricity'], 'answer_start': [200]}",['a device that converts light directly into electricity'],a device that converts light directly into electricity,a device that converts light directly into electricity,a device that converts light directly into electricity using the photoelectric effect,a device that converts light directly into electricity using the photoelectric effect, a device that converts light directly into electricity using the photoelectric effect, a device that converts light directly into electricity using the photoelectric effect, a device that converts light directly into electricity, a device that converts light directly into electricity,a device that converts light directly into electricity,a device that converts light directly into electricity,a device that converts light directly into electricity using the photoelectric effect,[CLS]
"After DNA replication is complete, the cell must physically separate the two copies of the genome and divide into two distinct membrane-bound cells.:18.2 In prokaryotes (bacteria and archaea) this usually occurs via a relatively simple process called binary fission, in which each circular genome attaches to the cell membrane and is separated into the daughter cells as the membrane invaginates to split the cytoplasm into two membrane-bound portions. Binary fission is extremely fast compared to the rates of cell division in eukaryotes. Eukaryotic cell division is a more complex process known as the cell cycle; DNA replication occurs during a phase of this cycle known as S phase, whereas the process of segregating chromosomes and splitting the cytoplasm occurs during M phase.:18.1",cell,What is another thing the cell must do once DNA replication is complete?,What should be done in a cell once the process is complete?,"{'text': ['divide into two distinct membrane-bound cells'], 'answer_start': [102]}",['divide into two distinct membrane-bound cells'],physically separate the two copies of the genome and divide into two distinct membrane - bound cells,physically separate the two copies of the genome and divide into two distinct membrane - bound cells,divide into two distinct membrane - bound cells,physically separate the two copies of the genome and divide into two distinct membrane - bound cells, physically separate the two copies of the genome and divide into two distinct membrane-bound cells, physically separate the two copies of the genome and divide into two distinct membrane-bound cells, divide into two distinct membrane-bound cells, divide into two distinct membrane-bound cells,divide into two distinct membrane-bound cells,divide into two distinct membrane-bound cells,divide into two distinct membrane-bound cells,physically separate the two copies of the genome and divide into two distinct membrane-bound cells
"During mutualistic symbioses, the host cell lacks some of the nutrients, which are provided by the endosymbiont. As a result, the host favors endosymbiont's growth processes within itself by producing some specialized cells. These cells affect the genetic composition of the host in order to regulate the increasing population of the endosymbionts and ensuring that these genetic changes are passed onto the offspring via vertical transmission (heredity).",cell,What is given to the host cell?,What is given to the host cell?,"{'text': ['nutrients'], 'answer_start': [62]}",['nutrients'],nutrients,nutrients,nutrients,nutrients,<s>,<s>, nutrients, nutrients,nutrients,nutrients,nutrients,nutrients
"After DNA replication is complete, the cell must physically separate the two copies of the genome and divide into two distinct membrane-bound cells.:18.2 In prokaryotes (bacteria and archaea) this usually occurs via a relatively simple process called binary fission, in which each circular genome attaches to the cell membrane and is separated into the daughter cells as the membrane invaginates to split the cytoplasm into two membrane-bound portions. Binary fission is extremely fast compared to the rates of cell division in eukaryotes. Eukaryotic cell division is a more complex process known as the cell cycle; DNA replication occurs during a phase of this cycle known as S phase, whereas the process of segregating chromosomes and splitting the cytoplasm occurs during M phase.:18.1",cell,What is one thing the cell must do once DNA replication is compete?,What is the function of a cell when the preocess is complete?,"{'text': ['physically separate the two copies of the genome'], 'answer_start': [49]}",['physically separate the two copies of the genome'],physically separate the two copies of the genome and divide into two distinct membrane - bound cells,physically separate the two copies of the genome and divide into two distinct membrane - bound cells,physically separate the two copies of the genome and divide into two distinct membrane - bound cells,divide into two distinct membrane - bound cells, physically separate the two copies of the genome and divide into two distinct membrane-bound cells, physically separate the two copies of the genome and divide into two distinct membrane-bound cells, physically separate the two copies of the genome and divide into two distinct membrane-bound cells,"<s>What is the function of a cell when the preocess is complete?</s></s>After DNA replication is complete, the cell must physically separate the two copies of the genome and divide into two distinct membrane-bound cells",physically separate the two copies of the genome,divide into two distinct membrane-bound cells,physically separate the two copies of the genome,divide into two distinct membrane-bound cells
"The total complement of genes in an organism or cell is known as its genome, which may be stored on one or more chromosomes. A chromosome consists of a single, very long DNA helix on which thousands of genes are encoded.:4.2 The region of the chromosome at which a particular gene is located is called its locus. Each locus contains one allele of a gene; however, members of a population may have different alleles at the locus, each with a slightly different gene sequence.",cell,What is the total complement of genes in an organism or cell known as?,What is the total complement of items in a cell known as?,"{'text': ['its genome'], 'answer_start': [65]}",['its genome'],its genome,its genome,its genome,its genome, its genome,<s>, its genome, its genome,its genome,genome,its genome,[CLS]
"Housekeeping genes are critical for carrying out basic cell functions and so are expressed at a relatively constant level (constitutively). Since their expression is constant, housekeeping genes are used as experimental controls when analysing gene expression. Not all essential genes are housekeeping genes since some essential genes are developmentally regulated or expressed at certain times during the organism's life cycle.",cell,What type of genes are necessary for performing basic cell functions?,What type of items are necessary for the process in a cell?,"{'text': ['Housekeeping genes'], 'answer_start': [0]}",['Housekeeping genes'],housekeeping genes,housekeeping genes,housekeeping genes,housekeeping genes,Housekeeping genes,Housekeeping genes,Housekeeping genes,Housekeeping genes,Housekeeping genes,Housekeeping genes,Housekeeping genes,Housekeeping genes
"In prokaryotes, transcription occurs in the cytoplasm; for very long transcripts, translation may begin at the 5' end of the RNA while the 3' end is still being transcribed. In eukaryotes, transcription occurs in the nucleus, where the cell's DNA is stored. The RNA molecule produced by the polymerase is known as the primary transcript and undergoes post-transcriptional modifications before being exported to the cytoplasm for translation. One of the modifications performed is the splicing of introns which are sequences in the transcribed region that do not encode protein. Alternative splicing mechanisms can result in mature transcripts from the same gene having different sequences and thus coding for different proteins. This is a major form of regulation in eukaryotic cells and also occurs in some prokaryotes.:7.5",cell,Where does a eukaryote store the cell's DNA?,Where does a life form store the items in a cell?,"{'text': ['in the nucleus'], 'answer_start': [210]}",['in the nucleus'],in the nucleus,the nucleus,the nucleus,the nucleus, the nucleus,<s>, in the nucleus, the nucleus,in the nucleus,"in the nucleus, where the cell's DNA is stored. The RNA molecule produced by the polymerase is known as the primary transcript and undergoes post-transcriptional modifications before being exported to the cytoplasm",the nucleus,the nucleus
"In the last two decades, photovoltaics (PV), also known as solar PV, has evolved from a pure niche market of small scale applications towards becoming a mainstream electricity source. A solar cell is a device that converts light directly into electricity using the photoelectric effect. The first solar cell was constructed by Charles Fritts in the 1880s. In 1931 a German engineer, Dr Bruno Lange, developed a photo cell using silver selenide in place of copper oxide. Although the prototype selenium cells converted less than 1% of incident light into electricity, both Ernst Werner von Siemens and James Clerk Maxwell recognized the importance of this discovery. Following the work of Russell Ohl in the 1940s, researchers Gerald Pearson, Calvin Fuller and Daryl Chapin created the crystalline silicon solar cell in 1954. These early solar cells cost 286 USD/watt and reached efficiencies of 4.5–6%. By 2012 available efficiencies exceed 20% and the maximum efficiency of research photovoltaics is over 40%.",cell,Who created the crystalline silicon solar cell?,Who created the cell?,"{'text': ['Gerald Pearson, Calvin Fuller and Daryl Chapin'], 'answer_start': [726]}","['Gerald Pearson, Calvin Fuller and Daryl Chapin']","gerald pearson, calvin fuller and daryl chapin","gerald pearson, calvin fuller and daryl chapin","gerald pearson , calvin fuller and daryl chapin","gerald pearson , calvin fuller and daryl chapin"," Gerald Pearson, Calvin Fuller and Daryl Chapin"," Gerald Pearson, Calvin Fuller and Daryl Chapin"," Gerald Pearson, Calvin Fuller and Daryl Chapin", Dr Bruno Lange,"Gerald Pearson, Calvin Fuller and Daryl Chapin","Gerald Pearson, Calvin Fuller and Daryl Chapin","Gerald Pearson, Calvin Fuller and Daryl Chapin",Charles Fritts
"In the last two decades, photovoltaics (PV), also known as solar PV, has evolved from a pure niche market of small scale applications towards becoming a mainstream electricity source. A solar cell is a device that converts light directly into electricity using the photoelectric effect. The first solar cell was constructed by Charles Fritts in the 1880s. In 1931 a German engineer, Dr Bruno Lange, developed a photo cell using silver selenide in place of copper oxide. Although the prototype selenium cells converted less than 1% of incident light into electricity, both Ernst Werner von Siemens and James Clerk Maxwell recognized the importance of this discovery. Following the work of Russell Ohl in the 1940s, researchers Gerald Pearson, Calvin Fuller and Daryl Chapin created the crystalline silicon solar cell in 1954. These early solar cells cost 286 USD/watt and reached efficiencies of 4.5–6%. By 2012 available efficiencies exceed 20% and the maximum efficiency of research photovoltaics is over 40%.",cell,Who created the first solar cell using silver selenide in place of copper oxide?,Who created the first cell out of silver selenide?,"{'text': ['Dr Bruno Lange'], 'answer_start': [383]}",['Dr Bruno Lange'],dr bruno lange,dr bruno lange,dr bruno lange,dr bruno lange, Dr Bruno Lange, Dr Bruno Lange, Dr Bruno Lange, Dr Bruno Lange,Dr Bruno Lange,Dr Bruno Lange,Dr Bruno Lange,Dr Bruno Lange
"In the last two decades, photovoltaics (PV), also known as solar PV, has evolved from a pure niche market of small scale applications towards becoming a mainstream electricity source. A solar cell is a device that converts light directly into electricity using the photoelectric effect. The first solar cell was constructed by Charles Fritts in the 1880s. In 1931 a German engineer, Dr Bruno Lange, developed a photo cell using silver selenide in place of copper oxide. Although the prototype selenium cells converted less than 1% of incident light into electricity, both Ernst Werner von Siemens and James Clerk Maxwell recognized the importance of this discovery. Following the work of Russell Ohl in the 1940s, researchers Gerald Pearson, Calvin Fuller and Daryl Chapin created the crystalline silicon solar cell in 1954. These early solar cells cost 286 USD/watt and reached efficiencies of 4.5–6%. By 2012 available efficiencies exceed 20% and the maximum efficiency of research photovoltaics is over 40%.",cell,Who created the first solar cell?,Who created the first cell?,"{'text': ['Charles Fritts'], 'answer_start': [327]}",['Charles Fritts'],charles fritts,charles fritts,charles fritts,charles fritts, Charles Fritts, Charles Fritts, Charles Fritts, Charles Fritts,Charles Fritts,Charles Fritts,Charles Fritts,Charles Fritts
"The Bey Hive is the name given to Beyoncé's fan base. Fans were previously titled ""The Beyontourage"", (a portmanteau of Beyoncé and entourage). The name Bey Hive derives from the word beehive, purposely misspelled to resemble her first name, and was penned by fans after petitions on the online social networking service Twitter and online news reports during competitions.",fan,Beyonce has a fan base that is referred to as what?,What is the name of her fan?,"{'text': ['The Bey Hive'], 'answer_start': [0]}",['The Bey Hive'],the bey hive,bey hive,the bey hive,bey hive,The Bey Hive, Bey Hive,The Bey Hive, Bey Hive,Bey Hive,Bey Hive,The Bey Hive,The Bey Hive
"The ""Fan Save"" was introduced in the fourteenth season. During the finals, viewers are given a five-minute window to vote for the contestants in danger of elimination by using their Twitter account to decide which contestant will move on to the next show, starting with the Top 8.",fan,How do people vote using the fan save?,How do people vote with a fan?,"{'text': ['Twitter'], 'answer_start': [182]}",['Twitter'],twitter,by using their twitter,twitter,twitter, Twitter account,<s>, Twitter,<s>,Twitter,Twitter,Twitter,Twitter
"The ""Fan Save"" was introduced in the fourteenth season. During the finals, viewers are given a five-minute window to vote for the contestants in danger of elimination by using their Twitter account to decide which contestant will move on to the next show, starting with the Top 8.",fan,How do viewers vote for a contestant using Fan Save?,How do people choose with a fan?,"{'text': ['Twitter'], 'answer_start': [182]}",['Twitter'],twitter,twitter,twitter,twitter, their Twitter,<s>, Twitter, Twitter,Twitter,Twitter,Twitter,[CLS]
"In addition to membership, as of 2010[update] there are 1,335 officially registered fan clubs, called penyes, around the world. The fan clubs promote Barcelona in their locality and receive beneficial offers when visiting Barcelona. Among the best supported teams globally, Barcelona has the highest social media following in the world among sports teams, with over 90 million Facebook fans as of February 2016. The club has had many prominent people among its supporters, including Pope John Paul II, who was an honorary member, and former prime minister of Spain José Luis Rodríguez Zapatero. FC Barcelona has the second highest average attendance of European football clubs only behind Borussia Dortmund.",fan,How many registered fan clubs does Barcelona have worldwide?,How many types of fans does Barcelona have worldwide?,"{'text': ['1,335'], 'answer_start': [56]}","['1,335']","1, 335","1, 335","1 , 335",over 90 million," 1,335", over 90 million," 1,335"," 1,335 officially registered fan clubs","1,335","1,335","1,335","1,335"
"There have always been Arsenal supporters outside London, and since the advent of satellite television, a supporter's attachment to a football club has become less dependent on geography. Consequently, Arsenal have a significant number of fans from beyond London and all over the world; in 2007, 24 UK, 37 Irish and 49 other overseas supporters clubs were affiliated with the club. A 2011 report by SPORT+MARKT estimated Arsenal's global fanbase at 113 million. The club's social media activity was the fifth highest in world football during the 2014–15 season.",fan,In 2011 what was Arsenal's estimated fan base?,In 2011 how many fans did it have?,"{'text': ['113 million'], 'answer_start': [449]}",['113 million'],113 million,[CLS],113 million,113 million, 113 million,<s>, 113 million, 113 million,113 million,"[CLS] In 2011 how many fans did it have?[SEP] There have always been Arsenal supporters outside London, and since the advent of satellite television, a supporter's attachment to a football club has become less dependent on geography. Consequently, Arsenal have a significant number of fans from beyond London and all over the world; in 2007, 24 UK, 37 Irish and 49 other overseas supporters clubs were affiliated with the club. A 2011 report by SPORT+MARKT estimated Arsenal's global fanbase at 113 million",113 million,113 million
"The ""Fan Save"" was introduced in the fourteenth season. During the finals, viewers are given a five-minute window to vote for the contestants in danger of elimination by using their Twitter account to decide which contestant will move on to the next show, starting with the Top 8.",fan,"In which season was the ""Fan Save"" first used?",When was the fan first used?,"{'text': ['fourteen'], 'answer_start': [37]}",['fourteen'],fourteenth,in the fourteenth season.,fourteenth,"twitter account to decide which contestant will move on to the next show , starting with the top 8", fourteenth, fourteenth season, fourteenth,<s>,fourteenth,Top 8,fourteenth,fourteenth season
"In addition to membership, as of 2010[update] there are 1,335 officially registered fan clubs, called penyes, around the world. The fan clubs promote Barcelona in their locality and receive beneficial offers when visiting Barcelona. Among the best supported teams globally, Barcelona has the highest social media following in the world among sports teams, with over 90 million Facebook fans as of February 2016. The club has had many prominent people among its supporters, including Pope John Paul II, who was an honorary member, and former prime minister of Spain José Luis Rodríguez Zapatero. FC Barcelona has the second highest average attendance of European football clubs only behind Borussia Dortmund.",fan,What are the fan clubs called?,What are the different types of fan called?,"{'text': ['penyes'], 'answer_start': [102]}",['penyes'],penyes,penyes,penyes,penyes, penyes, penyes, penyes, penyes,penyes,penyes,penyes,penyes
"The content including match outcomes is choreographed and the combative actions and reactions are executed in special manners designed to both protect from, yet simulate, pain. These facts were once kept highly secret, but they are now openly declared as the truth. By and large, the true nature of the content is ignored by the performing promotion in official media in order to sustain and promote the willing suspension of disbelief for the audience by maintaining an aura of verisimilitude. Fan communications by individual wrestlers and promotions through outside media (i.e., interviews) will often directly acknowledge the fictional nature of the spectacle.",fan,What are the fan encouraged to do?,What is the fan supposed to do?,"{'text': ['willing suspension of disbelief for the audience'], 'answer_start': [404]}",['willing suspension of disbelief for the audience'],willing suspension of disbelief for the audience,willing suspension of disbelief for the audience,suspension of disbelief,suspension of disbelief,<s>,<s>, willing suspension of disbelief, willing suspension of disbelief,willing suspension of disbelief for the audience,willing suspension of disbelief,willing suspension of disbelief,willing suspension of disbelief
"Arsenal fans often refer to themselves as ""Gooners"", the name derived from the team's nickname, ""The Gunners"". The fanbase is large and generally loyal, and virtually all home matches sell out; in 2007–08 Arsenal had the second-highest average League attendance for an English club (60,070, which was 99.5% of available capacity), and, as of 2015, the third-highest all-time average attendance. Arsenal have the seventh highest average attendance of European football clubs only behind Borussia Dortmund, FC Barcelona, Manchester United, Real Madrid, Bayern Munich, and Schalke. The club's location, adjoining wealthy areas such as Canonbury and Barnsbury, mixed areas such as Islington, Holloway, Highbury, and the adjacent London Borough of Camden, and largely working-class areas such as Finsbury Park and Stoke Newington, has meant that Arsenal's supporters have come from a variety of social classes.",fan,What aspect of the fan base is one of the reasons for large game attendance?,What aspect of the fan influenced the decision to attend the game?,"{'text': ['location'], 'answer_start': [590]}",['location'],"location, adjoining wealthy areas such as canonbury and barnsbury, mixed areas such as islington, holloway, highbury, and the adjacent london borough of camden, and largely working - class areas such as finsbury park and stoke newington, has meant that arsenal ' s supporters have come from a variety of social classes",[CLS],location,location, loyal, loyal, location, location,location,location,The club's location,"The club's location, adjoining wealthy areas such as Canonbury and Barnsbury, mixed areas such as Islington, Holloway, Highbury, and the adjacent London Borough of Camden, and largely working-class areas such as Finsbury Park and Stoke Newington, has meant that Arsenal's supporters have come from a variety of social classes"
"Many species of the second major avialan lineage to diversify, the Euornithes (meaning ""true birds"", because they include the ancestors of modern birds), were semi-aquatic and specialized in eating fish and other small aquatic organisms. Unlike the enantiornithes, which dominated land-based and arboreal habitats, most early euornithes lacked perching adaptations and seem to have included shorebird-like species, waders, and swimming and diving species. The later included the superficially gull-like Ichthyornis, the Hesperornithiformes, which became so well adapted to hunting fish in marine environments that they lost the ability to fly and became primarily aquatic. The early euornithes also saw the development of many traits associated with modern birds, like strongly keeled breastbones, toothless, beaked portions of their jaws (though most non-avian euornithes retained teeth in other parts of the jaws). Euornithes also included the first avialans to develop true pygostyle and a fully mobile fan of tail feathers, which may have replaced the ""hind wing"" as the primary mode of aerial maneuverability and braking in flight.",fan,What group became the first avialans to develop true pygostyle and a fully mobile fan of tail feathers?,What group became the first to develop mobile fan?,"{'text': ['Euornithes'], 'answer_start': [917]}",['Euornithes'],euornithes,[CLS],euornithes,euornithes, Euornithes,<s>, Euornithes, Euornithes,Euornithes,Euornithes,Euornithes,Euornithes
"The Bey Hive is the name given to Beyoncé's fan base. Fans were previously titled ""The Beyontourage"", (a portmanteau of Beyoncé and entourage). The name Bey Hive derives from the word beehive, purposely misspelled to resemble her first name, and was penned by fans after petitions on the online social networking service Twitter and online news reports during competitions.",fan,What is Beyonce's fan base called?,What is her fan collection called?,"{'text': ['Bey Hive'], 'answer_start': [4]}",['Bey Hive'],bey hive,the bey hive,bey hive,the bey hive,The Bey Hive, Bey Hive, Bey Hive, Bey Hive,Bey Hive,Bey Hive,The Bey Hive,The Bey Hive
"The Beijing Olympic Organizing Committee sent out a team of 30 unarmed attendants selected from the People's Armed Police to escort the flame throughout its journey. According to Asian Times, sworn in as the ""Beijing Olympic Games Sacred Flame Protection Unit"" during a ceremony in August 2007, their main job is to keep the Olympic flame alight throughout the journey and to assist in transferring the flame between the torches, the lanterns and the cauldrons. They wear matching blue tracksuits and are intended to accompany the torch every step of the way. One of the torch attendants, dubbed ""Second Right Brother,"" has developed a significant online fan-base, particularly among China's female netizens.",fan,What is the attendant who has a large fan base called?,What is the person who has a large fan collection called?,"{'text': ['Second Right Brother'], 'answer_start': [597]}",['Second Right Brother'],second right brother,second right brother,second right brother,second right brother,Second Right Brother,Second Right Brother,Second Right Brother,Second Right Brother,Second Right Brother,[CLS],Second Right Brother,Second Right Brother
"Many birds show plumage patterns in ultraviolet that are invisible to the human eye; some birds whose sexes appear similar to the naked eye are distinguished by the presence of ultraviolet reflective patches on their feathers. Male blue tits have an ultraviolet reflective crown patch which is displayed in courtship by posturing and raising of their nape feathers. Ultraviolet light is also used in foraging—kestrels have been shown to search for prey by detecting the UV reflective urine trail marks left on the ground by rodents. The eyelids of a bird are not used in blinking. Instead the eye is lubricated by the nictitating membrane, a third eyelid that moves horizontally. The nictitating membrane also covers the eye and acts as a contact lens in many aquatic birds. The bird retina has a fan shaped blood supply system called the pecten. Most birds cannot move their eyes, although there are exceptions, such as the great cormorant. Birds with eyes on the sides of their heads have a wide visual field, while birds with eyes on the front of their heads, such as owls, have binocular vision and can estimate the depth of field. The avian ear lacks external pinnae but is covered by feathers, although in some birds, such as the Asio, Bubo and Otus owls, these feathers form tufts which resemble ears. The inner ear has a cochlea, but it is not spiral as in mammals.",fan,What is the fan shaped blood supply system in a bird's retina?,What is the fan system in a bird's body?,"{'text': ['pecten'], 'answer_start': [839]}",['pecten'],pecten,pecten,pecten,pecten, pecten, pecten, pecten, pecten,pecten,pecten,the pecten,pecten
"There have always been Arsenal supporters outside London, and since the advent of satellite television, a supporter's attachment to a football club has become less dependent on geography. Consequently, Arsenal have a significant number of fans from beyond London and all over the world; in 2007, 24 UK, 37 Irish and 49 other overseas supporters clubs were affiliated with the club. A 2011 report by SPORT+MARKT estimated Arsenal's global fanbase at 113 million. The club's social media activity was the fifth highest in world football during the 2014–15 season.",fan,What medium has added to the fan base of Arsenal?,Who has added to the fan collection?,"{'text': ['satellite television'], 'answer_start': [82]}",['satellite television'],satellite television,[CLS],satellite television,satellite television, satellite television,<s>, satellite television,<s>,satellite television,[CLS],satellite television,a supporter's attachment to a football club has become less dependent on geography
"The Jesuit China missions of the 16th and 17th centuries ""learned to appreciate the scientific achievements of this ancient culture and made them known in Europe. Through their correspondence European scientists first learned about the Chinese science and culture."" Western academic thought on the history of Chinese technology and science was galvanized by the work of Joseph Needham and the Needham Research Institute. Among the technological accomplishments of China were, according to the British scholar Needham, early seismological detectors (Zhang Heng in the 2nd century), the water-powered celestial globe (Zhang Heng), matches, the independent invention of the decimal system, dry docks, sliding calipers, the double-action piston pump, cast iron, the blast furnace, the iron plough, the multi-tube seed drill, the wheelbarrow, the suspension bridge, the winnowing machine, the rotary fan, the parachute, natural gas as fuel, the raised-relief map, the propeller, the crossbow, and a solid fuel rocket, the multistage rocket, the horse collar, along with contributions in logic, astronomy, medicine, and other fields.",fan,What type of fan originated in China?,What type of fan originated there?,"{'text': ['rotary'], 'answer_start': [888]}",['rotary'],rotary,rotary,rotary,rotary, rotary fan, rotary fan, rotary, rotary,rotary,rotary,rotary,rotary
"The ""Fan Save"" was introduced in the fourteenth season. During the finals, viewers are given a five-minute window to vote for the contestants in danger of elimination by using their Twitter account to decide which contestant will move on to the next show, starting with the Top 8.",fan,When does the Fan Save start?,When does the fan start?,"{'text': ['Top 8'], 'answer_start': [274]}",['Top 8'],top 8,top 8,top 8,top 8,,<s>, Top 8,<s>,Top 8,Top 8.,Top 8,Top 8
"Pia Toscano, one of the presumed favorites to advance far in the season, was unexpectedly eliminated on April 7, 2011, finishing in ninth place. Her elimination drew criticisms from some former Idol contestants, as well as actor Tom Hanks.",fan,Which fan favorite was unexpectedly eliminated earlier than expected?,Which fan broke down unexpectedly?,"{'text': ['Pia Toscano'], 'answer_start': [0]}",['Pia Toscano'],pia toscano,pia toscano,pia toscano,pia toscano,Pia Toscano,<s>Which fan broke down unexpectedly?</s></s>Pia Toscano,Pia Toscano,<s>,Pia Toscano,[CLS],Pia Toscano,[CLS]
"The Beijing Olympic Organizing Committee sent out a team of 30 unarmed attendants selected from the People's Armed Police to escort the flame throughout its journey. According to Asian Times, sworn in as the ""Beijing Olympic Games Sacred Flame Protection Unit"" during a ceremony in August 2007, their main job is to keep the Olympic flame alight throughout the journey and to assist in transferring the flame between the torches, the lanterns and the cauldrons. They wear matching blue tracksuits and are intended to accompany the torch every step of the way. One of the torch attendants, dubbed ""Second Right Brother,"" has developed a significant online fan-base, particularly among China's female netizens.",fan,Which team member has his own fan following?,Who has his own fan?,"{'text': ['Second Right Brother'], 'answer_start': [597]}",['Second Right Brother'],second right brother,second right brother,second right brother,second right brother,Second Right Brother,<s>,Second Right Brother,Second Right Brother,Second Right Brother,Second Right Brother,Second Right Brother,"[CLS] Who has his own fan?[SEP] The Beijing Olympic Organizing Committee sent out a team of 30 unarmed attendants selected from the People's Armed Police to escort the flame throughout its journey. According to Asian Times, sworn in as the ""Beijing Olympic Games Sacred Flame Protection Unit"" during a ceremony in August 2007, their main job is to keep the Olympic flame alight throughout the journey and to assist in transferring the flame between the torches, the lanterns and the cauldrons. They wear matching blue tracksuits and are intended to accompany the torch every step of the way. One of the torch attendants, dubbed ""Second Right Brother"
"Following Huan's death, Dou Wu and the Grand Tutor Chen Fan (陳蕃) (d. 168 AD) attempted a coup d'état against the eunuchs Hou Lan (d. 172 AD), Cao Jie (d. 181 AD), and Wang Fu (王甫). When the plot was uncovered, the eunuchs arrested Empress Dowager Dou (d. 172 AD) and Chen Fan. General Zhang Huan (張奐) favored the eunuchs. He and his troops confronted Dou Wu and his retainers at the palace gate where each side shouted accusations of treason against the other. When the retainers gradually deserted Dou Wu, he was forced to commit suicide.",fan,Who arrested Chen Fan in a failed plot?,Who arrested fan in a failed plot?,"{'text': ['the eunuchs'], 'answer_start': [210]}",['the eunuchs'],the eunuchs,the eunuchs,the eunuchs,the eunuchs," Dou Wu and the Grand Tutor Chen Fan (陳蕃) (d. 168 AD) attempted a coup d'état against the eunuchs Hou Lan (d. 172 AD), Cao Jie (d. 181 AD), and Wang Fu (王甫). When the plot was uncovered, the eunuchs"," Dou Wu and the Grand Tutor Chen Fan (陳蕃) (d. 168 AD) attempted a coup d'état against the eunuchs Hou Lan (d. 172 AD), Cao Jie (d. 181 AD), and Wang Fu (王甫). When the plot was uncovered, the eunuchs", the eunuchs, the eunuchs,the eunuchs,the eunuchs,the eunuchs,the eunuchs
"Ruben Studdard emerged as the winner, beating Clay Aiken by a small margin. Out of a total of 24 million votes, Studdard finished just 134,000 votes ahead of Aiken. This slim margin of victory was controversial due to the large number of calls that failed to get through. In an interview prior to season five, executive producer Nigel Lythgoe indicated that Aiken had led the fan voting from the wildcard week onward until the finale.",fan,Who did Nigel Lythgoe say was a fan favorite for the majority of the season?,Who did  was a fan? ,"{'text': ['Clay Aiken'], 'answer_start': [46]}",['Clay Aiken'],clay aiken,clay aiken,clay aiken,clay aiken, Clay Aiken,<s>, Clay Aiken,,Clay Aiken,[CLS],Clay Aiken,[CLS]
"The show had originally planned on having four judges following the Pop Idol format; however, only three judges had been found by the time of the audition round in the first season, namely Randy Jackson, Paula Abdul and Simon Cowell. A fourth judge, radio DJ Stryker, was originally chosen but he dropped out citing ""image concerns"". In the second season, New York radio personality Angie Martinez had been hired as a fourth judge but withdrew only after a few days of auditions due to not being comfortable with giving out criticism. The show decided to continue with the three judges format until season eight. All three original judges stayed on the judging panel for eight seasons.",season,"During Season two, which judge quit after a few days?",Which judge left early in the season?,"{'text': ['Angie Martinez'], 'answer_start': [383]}",['Angie Martinez'],angie martinez,radio dj stryker,angie martinez,dj stryker, Angie Martinez, radio DJ Stryker, Angie Martinez, Angie Martinez,Angie Martinez,Angie Martinez,Angie Martinez,
"The first non-Native American inhabitant of what would eventually become New York City was Dominican trader Juan Rodriguez (transliterated to Dutch as Jan Rodrigues). Born in Santo Domingo of Portuguese and African descent, he arrived in Manhattan during the winter of 1613–1614, trapping for pelts and trading with the local population as a representative of the Dutch. Broadway, from 159th Street to 218th Street, is named Juan Rodriguez Way in his honor.",season,During what season did Juan Rodriguez first come to New York?,During what season did he first arrive in New York?,"{'text': ['winter'], 'answer_start': [259]}",['winter'],winter,winter,winter,winter, winter, winter, winter, winter,winter,winter,winter,winter
"Forty of the city's theaters, with more than 500 seats each, are collectively known as Broadway, after the major thoroughfare that crosses the Times Square Theater District, sometimes referred to as ""The Great White Way"". According to The Broadway League, Broadway shows sold approximately US$1.27 billion worth of tickets in the 2013–2014 season, an 11.4% increase from US$1.139 billion in the 2012–2013 season. Attendance in 2013–2014 stood at 12.21 million, representing a 5.5% increase from the 2012–2013 season's 11.57 million.",season,How many people attended Broadway shows during the 2013-2014 season?,How many people showed up during that season?,"{'text': ['12.21 million'], 'answer_start': [446]}",['12.21 million'],12. 21 million,12. 21 million,12 . 21 million,12 . 21 million, 12.21 million, 12.21 million, 12.21 million, 12.21 million,12.21 million,12.21 million,12.21 million,12.21 million
